date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:35	76220/76220	---MCZ	200	added ('OK')	text/html	etag:W/%22f44df93a6ab7abbd656fa93dbfc68892%22	https://around.createx.studio/index.html	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/index.html	(from )
10:10:35	1491/1491	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Mar%202025%2009:10:46%20GMT	https://around.createx.studio/robots.txt		(from )
10:10:36	384/384	---M--	200	added ('OK')	application/json	etag:%22e4293c94f5493fbf5a5e0e54c09521ef%22	https://around.createx.studio/manifest.json	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/manifest.json	(from https://around.createx.studio/index.html)
10:10:37	1340/1340	---M--	200	added ('OK')	image/png	etag:%22822c8b73df8180b9cd7d8c52e9d8d160%22	https://around.createx.studio/assets/app-icons/icon-32x32.png	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/assets/app-icons/icon-32x32.png	(from https://around.createx.studio/index.html)
10:10:38	1189/1189	---M--	200	added ('OK')	image/png	etag:%222778fb7c990ca35027c9e093f7cd6cfa%22	https://around.createx.studio/assets/app-icons/icon-180x180.png	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/assets/app-icons/icon-180x180.png	(from https://around.createx.studio/index.html)
10:10:39	1986/1986	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ca7efb089264561d204265fad62dbb13%22	https://around.createx.studio/assets/js/theme-switcher.js	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/assets/js/theme-switcher.js	(from https://around.createx.studio/index.html)
10:10:40	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%22847da8fca8060ca1a70f976aab1210b9%22	https://around.createx.studio/assets/vendor/aos/dist/aos.css	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/assets/vendor/aos/dist/aos.css	(from https://around.createx.studio/index.html)
10:10:41	237/237	---M--	200	added ('OK')	text/css	etag:%223928e71db4db14d17d836612883547ae%22	https://around.createx.studio/assets/vendor/img-comparison-slider/dist/styles.css	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/assets/vendor/img-comparison-slider/dist/styles.css	(from https://around.createx.studio/index.html)
10:10:42	12855/12855	---MCZ	200	added ('OK')	text/css	etag:W/%220a9798cc711c12df579b05182d9e1e20%22	https://around.createx.studio/assets/icons/around-icons.min.css	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/assets/icons/around-icons.min.css	(from https://around.createx.studio/index.html)
10:10:43	372974/372974	---MCZ	200	added ('OK')	text/css	etag:W/%226ec67d9fcb83f4f88eeddd2d83121d2c%22	https://around.createx.studio/assets/css/theme.min.css	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/assets/css/theme.min.css	(from https://around.createx.studio/index.html)
10:10:43	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2015%20Mar%202025%2009:10:54%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/MOYO%20TEMPLATE/www.googletagmanager.com/gtm.95445.delayed	(from https://around.createx.studio/index.html)
10:10:44	59984/59984	---M--	200	added ('OK')	image/jpeg	etag:%2289848073a99c547144e03d53d0c6706f%22	https://around.createx.studio/assets/img/megamenu/landings.jpg	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/assets/img/megamenu/landings.jpg	(from https://around.createx.studio/index.html)
10:10:45	88947/88947	---MCZ	200	added ('OK')	text/html	etag:W/%22c83496d3965e4b15a3dae92a69b73470%22	https://around.createx.studio/landing-mobile-app-showcase.html	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/landing-mobile-app-showcase.html	(from https://around.createx.studio/index.html)
10:10:46	27968/27968	---M--	200	added ('OK')	image/jpeg	etag:%2244ad64ab7b4ac9197c0649b3ff85b710%22	https://around.createx.studio/assets/img/megamenu/mobile-app.jpg	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/assets/img/megamenu/mobile-app.jpg	(from https://around.createx.studio/index.html)
10:10:48	63468/63468	---MCZ	200	added ('OK')	text/html	etag:W/%22385683d65717974408441c16c8ee761b%22	https://around.createx.studio/landing-product.html	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/landing-product.html	(from https://around.createx.studio/index.html)
10:10:48	29162/29162	---M--	200	added ('OK')	image/jpeg	etag:%22d6bded1811dca8fd397da2e4832757be%22	https://around.createx.studio/assets/img/megamenu/product-landing.jpg	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/assets/img/megamenu/product-landing.jpg	(from https://around.createx.studio/index.html)
10:10:49	90160/90160	---MCZ	200	added ('OK')	text/html	etag:W/%229257b5b91c126e476c2377501d3b0d17%22	https://around.createx.studio/landing-saas-v1.html	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/landing-saas-v1.html	(from https://around.createx.studio/index.html)
10:10:50	33896/33896	---M--	200	added ('OK')	image/jpeg	etag:%22b9ec5ab0649e5e3be446fa82d36a1ca4%22	https://around.createx.studio/assets/img/megamenu/saas-1.jpg	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/assets/img/megamenu/saas-1.jpg	(from https://around.createx.studio/index.html)
10:10:51	87625/87625	---MCZ	200	added ('OK')	text/html	etag:W/%2205555b2526f021dbb6008e1cea56a6b8%22	https://around.createx.studio/landing-saas-v2.html	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/landing-saas-v2.html	(from https://around.createx.studio/index.html)
10:10:52	30939/30939	---M--	200	added ('OK')	image/jpeg	etag:%22783956c6768f7227ec1f6118c1226365%22	https://around.createx.studio/assets/img/megamenu/saas-2.jpg	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/assets/img/megamenu/saas-2.jpg	(from https://around.createx.studio/index.html)
10:10:53	106703/106703	---MCZ	200	added ('OK')	text/html	etag:W/%22f6343dd5566937dea8d65a96ea9fbf33%22	https://around.createx.studio/landing-saas-v3.html	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/landing-saas-v3.html	(from https://around.createx.studio/index.html)
10:10:54	24454/24454	---M--	200	added ('OK')	image/jpeg	etag:%2248d64abed35e48e196725f264c7bc77c%22	https://around.createx.studio/assets/img/megamenu/saas-3.jpg	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/assets/img/megamenu/saas-3.jpg	(from https://around.createx.studio/index.html)
10:10:55	109541/109541	---MCZ	200	added ('OK')	text/html	etag:W/%2291a51360e06360366d7ea05221ed3afd%22	https://around.createx.studio/landing-saas-v4.html	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/landing-saas-v4.html	(from https://around.createx.studio/index.html)
10:10:56	37754/37754	---M--	200	added ('OK')	image/jpeg	etag:%22059f724de861f6c674f3bc9aa3923cbf%22	https://around.createx.studio/assets/img/megamenu/saas-4.jpg	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/assets/img/megamenu/saas-4.jpg	(from https://around.createx.studio/index.html)
10:10:57	109567/109567	---MCZ	200	added ('OK')	text/html	etag:W/%2264bd45608a2cc5dd81601bf1b9c82687%22	https://around.createx.studio/landing-shop-v1.html	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/landing-shop-v1.html	(from https://around.createx.studio/index.html)
10:10:58	37866/37866	---M--	200	added ('OK')	image/jpeg	etag:%22e16997cc69502e47792f9ae7e72263b7%22	https://around.createx.studio/assets/img/megamenu/shop-homepage-1.jpg	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/assets/img/megamenu/shop-homepage-1.jpg	(from https://around.createx.studio/index.html)
10:10:59	73058/73058	---MCZ	200	added ('OK')	text/html	etag:W/%221d2f168a4b822d1ab343e0ac667b3c8c%22	https://around.createx.studio/landing-shop-v2.html	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/landing-shop-v2.html	(from https://around.createx.studio/index.html)
10:11:00	41609/41609	---M--	200	added ('OK')	image/jpeg	etag:%22a2512b83098ea03cc4bf938b3b469676%22	https://around.createx.studio/assets/img/megamenu/shop-homepage-2.jpg	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/assets/img/megamenu/shop-homepage-2.jpg	(from https://around.createx.studio/index.html)
10:11:01	109742/109742	---MCZ	200	added ('OK')	text/html	etag:W/%22758793780f7d0b64fde438f17016d549%22	https://around.createx.studio/landing-marketing-agency.html	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/landing-marketing-agency.html	(from https://around.createx.studio/index.html)
10:11:02	21727/21727	---M--	200	added ('OK')	image/jpeg	etag:%226186de998ef78ec7ba89b4b08d2c99d0%22	https://around.createx.studio/assets/img/megamenu/marketing-agency.jpg	C:/My%20Web%20Sites/MOYO%20TEMPLATE/around.createx.studio/assets/img/megamenu/marketing-agency.jpg	(from https://around.createx.studio/index.html)
